x,y
5.504174828529357910e-01,9.097746610641479492e-01
3.678987026214599609e-01,4.788779318332672119e-01
7.174733281135559082e-01,8.351544737815856934e-01
2.697022259235382080e-01,7.259519100189208984e-01
6.308404207229614258e-01,7.024394869804382324e-01
1.624029278755187988e-01,5.691497921943664551e-01
6.331244707107543945e-01,5.017914772033691406e-01
4.131788313388824463e-01,3.277890980243682861e-01
7.624376416206359863e-01,4.994084239006042480e-01
2.003006935119628906e-01,9.331765770912170410e-02
4.065479636192321777e-01,8.238674998283386230e-01
6.905246973037719727e-01,6.797103285789489746e-01
6.262700557708740234e-01,5.128753185272216797e-01
7.098756432533264160e-01,2.932898998260498047e-01
8.790347576141357422e-01,2.542761266231536865e-01
6.685975790023803711e-01,5.341004133224487305e-01
2.401276826858520508e-01,4.108200967311859131e-01
7.497265338897705078e-01,2.790824174880981445e-01
1.479035913944244385e-01,4.997866451740264893e-01
5.198036432266235352e-01,8.708190917968750000e-02
6.180469393730163574e-01,4.410575628280639648e-01
5.979251861572265625e-01,8.479022979736328125e-01
9.077194333076477051e-01,2.742737531661987305e-01
1.966851353645324707e-01,3.766131401062011719e-01
2.668188810348510742e-01,3.116129040718078613e-01
4.609355926513671875e-01,3.338221907615661621e-01
2.166754901409149170e-01,9.214555025100708008e-01
5.661417841911315918e-01,4.423035383224487305e-01
7.884473800659179688e-01,7.007160782814025879e-01
1.983904540538787842e-01,2.128197252750396729e-01
4.857070744037628174e-01,7.953681349754333496e-01
5.494527220726013184e-01,8.061558008193969727e-03
2.456866800785064697e-01,5.340420603752136230e-01
3.787508010864257812e-01,1.305832266807556152e-01
5.780782699584960938e-01,6.478794813156127930e-01
4.040384292602539062e-01,4.467689692974090576e-01
8.157814741134643555e-01,6.732318401336669922e-01
4.064945876598358154e-01,3.287290930747985840e-01
5.685032606124877930e-01,1.802742183208465576e-01
4.373987913131713867e-01,3.743508458137512207e-01
6.114513874053955078e-01,9.089626073837280273e-01
1.979298591613769531e-01,2.136976122856140137e-01
6.620540618896484375e-01,1.189884543418884277e-01
6.441143155097961426e-01,5.571122169494628906e-01
4.365247488021850586e-01,1.150909364223480225e-01
4.276574254035949707e-01,1.170187294483184814e-01
1.661655902862548828e-01,2.837277054786682129e-01
1.974583566188812256e-01,6.442888379096984863e-01
4.010850489139556885e-01,7.980151176452636719e-01
4.088242352008819580e-01,3.417611122131347656e-02
1.956822276115417480e-01,4.256524443626403809e-01
4.195778667926788330e-01,3.272316455841064453e-01
4.701167345046997070e-02,5.804157853126525879e-01
7.439368963241577148e-01,3.312802314758300781e-01
2.179032266139984131e-01,3.601086139678955078e-01
1.788348853588104248e-01,6.043416857719421387e-01
6.111027598381042480e-01,5.972853899002075195e-01
5.273906588554382324e-01,7.554111480712890625e-01
2.808687984943389893e-01,8.210606575012207031e-01
4.611080884933471680e-01,4.649356901645660400e-01
7.868804335594177246e-01,4.541142582893371582e-01
8.108984231948852539e-01,4.003056883811950684e-01
3.673360049724578857e-01,4.925524890422821045e-01
1.033403873443603516e-01,7.042789459228515625e-01
4.908908903598785400e-01,2.456226646900177002e-01
3.132546544075012207e-01,5.927003026008605957e-01
7.388533353805541992e-01,6.869990825653076172e-01
7.362077236175537109e-01,7.259714603424072266e-01
6.290460824966430664e-01,5.107203722000122070e-01
4.187124073505401611e-01,3.272657990455627441e-01
7.797625660896301270e-01,5.507667660713195801e-01
2.875481247901916504e-01,8.302792310714721680e-01
8.748140335083007812e-01,3.428007662296295166e-01
4.226370751857757568e-01,8.931263685226440430e-01
5.078097581863403320e-01,3.946286141872406006e-01
5.544790625572204590e-01,4.866321682929992676e-01
5.323612093925476074e-01,5.715472698211669922e-01
7.462770342826843262e-01,5.126866102218627930e-01
5.053250789642333984e-01,6.329778432846069336e-01
3.345674574375152588e-01,7.142949104309082031e-01
9.371161460876464844e-01,3.388141691684722900e-01
8.598393201828002930e-01,4.081798195838928223e-01
8.171796798706054688e-01,1.279796361923217773e-01
4.651354253292083740e-01,1.379787921905517578e-03
1.069480776786804199e-01,4.160269200801849365e-01
4.735522568225860596e-01,6.809726953506469727e-01
2.275947332382202148e-01,7.280802130699157715e-01
8.097246289253234863e-01,5.812130570411682129e-01
5.886339545249938965e-01,7.191872000694274902e-01
8.649235963821411133e-01,3.420710563659667969e-01
3.132125139236450195e-01,8.740622997283935547e-01
5.946611762046813965e-01,8.452847003936767578e-01
8.340247869491577148e-01,1.471702456474304199e-01
5.292404890060424805e-01,3.657940030097961426e-01
7.086626887321472168e-01,3.320817947387695312e-01
9.913531541824340820e-01,4.391187429428100586e-01
6.947728991508483887e-02,4.499058723449707031e-01
8.111344575881958008e-01,5.810418725013732910e-01
5.177507400512695312e-01,4.463041126728057861e-01
3.961966335773468018e-01,9.206902384757995605e-01
2.590686082839965820e-03,4.437780380249023438e-01
7.012857198715209961e-01,8.056845664978027344e-01
6.415292024612426758e-01,9.058026671409606934e-01
5.925540924072265625e-01,9.775123596191406250e-01
3.580782413482666016e-01,5.901718139648437500e-01
5.520259141921997070e-01,6.819983720779418945e-01
4.768511354923248291e-01,3.801997900009155273e-01
4.239476323127746582e-01,2.760039567947387695e-01
9.375309944152832031e-01,3.564854860305786133e-01
