x,y
7.994548200511540637e-02,3.641038359675855540e-01
5.242640083779381149e-02,3.332408907652991692e-01
4.600328460634019873e-02,5.802931654570223641e-01
7.450819625817059477e-02,3.768617735447096218e-01
3.249103387850482694e-02,5.255834863511790189e-01
4.757286186398662631e-02,5.675323355310786244e-01
3.868897301923850118e-03,5.242761955490463643e-01
4.168522322077414244e-02,4.069498900705066369e-01
5.556507978750871435e-02,2.577169424740248238e-01
1.165790966464020639e-01,4.511254428233560376e-01
7.204932660034946146e-02,2.751048630658815553e-01
4.754409064190059930e-02,5.838104692456129730e-01
2.148996411869557449e-02,5.514503361620947119e-01
4.815589524523022219e-02,4.624308423373339472e-01
7.514235211283565308e-02,6.098928316205566302e-01
6.571513956115494770e-02,3.028584375315955812e-01
5.870066765753122889e-02,4.244407842278459797e-01
5.489929947048406006e-02,6.335864229000629511e-01
6.779332551719102762e-02,4.891495958326503857e-01
7.582382588398944856e-02,5.404691102848176998e-01
7.319185335005280735e-02,5.868523524768620714e-01
4.826384677065047313e-02,4.422594714369731950e-01
6.630554414132515395e-02,5.264252620790094150e-01
3.430766323067083179e-02,5.345980122358515718e-01
6.363909334348230584e-03,6.995816189400757557e-01
9.986800896095611446e-02,4.802081626983101259e-01
7.608300464985921774e-02,4.207986774673009300e-01
4.142200218915394888e-02,4.429307493423983444e-01
3.589935391396591874e-02,5.808958012423840467e-01
4.088937791035222868e-02,5.978506281231353858e-01
5.802537616410492066e-02,6.506420096997158620e-01
4.348592140442206211e-02,5.158283693572960349e-01
6.736532385910092013e-02,5.962149037235032756e-01
1.114801695355320532e-02,6.119149970091615209e-01
7.921621472024932553e-02,4.847483133481883533e-01
7.070682807571004869e-02,6.441346877169458196e-01
3.504382537614772475e-03,5.055080889569338876e-01
4.990927542273207451e-02,3.503805939812707493e-01
5.060358925571785405e-02,3.294302875975183564e-01
5.441113975236642336e-02,4.868236882869414472e-01
3.589103168282781892e-02,7.277888181716691829e-01
6.880792726849493945e-02,4.947205110845714904e-01
5.289244713437576267e-02,4.839594381809295132e-01
6.768870291245669690e-02,5.932963608895722718e-01
6.763472714985438450e-02,6.672183330636498599e-01
4.364642203311094870e-02,5.665289110491878999e-01
5.448413783147682682e-02,5.632852892735502603e-01
1.179900755057076700e-01,4.385735540379195330e-01
5.734770683770584743e-02,6.019314347661397502e-01
6.596718503920090404e-02,5.497532927585028206e-01
4.284296719027261280e-03,5.643703134474777894e-01
4.512825895507127649e-02,5.714874269219885061e-01
2.805265648475813514e-02,4.917434416909054473e-01
6.647983593555453763e-02,5.180568568955202791e-01
5.467745192549649386e-02,5.687182509894925797e-01
4.237430590542962117e-02,3.635122372214167896e-01
1.411240409526329231e-02,4.609046972437179646e-01
4.024903978719467090e-02,2.794045109609266109e-01
7.681417418679625797e-02,4.013928460491192896e-01
5.935384584925298967e-02,7.606848462251613041e-01
2.712056396719201429e-02,5.736964797042276576e-01
8.017684072025153819e-02,6.070807091939985911e-01
8.974196480873680715e-02,2.846111302125320375e-01
2.946553761039222633e-02,6.508811985490752239e-01
4.311189550046815033e-02,5.719138328393953419e-01
2.570007390431297556e-02,2.798030299958818023e-01
2.521500537290852911e-02,4.655691522145126715e-01
4.755360175099394848e-02,3.585469677492469920e-01
4.204878633552074085e-03,5.291915847537065343e-01
2.302125904065421141e-02,6.749062600961803771e-01
4.019506400481813457e-02,2.030738497419111166e-01
5.349497843229367861e-02,6.717285472377958477e-01
3.936450301687689779e-02,4.380931366100988544e-01
3.844501276719480831e-02,5.568415574817836555e-01
4.638373054232789588e-02,5.886703867876503793e-01
3.848638625149351788e-02,4.802733970366795946e-01
4.176131241973252139e-02,4.708390344049956378e-01
1.387529124249187173e-01,5.065963993107085450e-01
8.346127801049618711e-02,4.702107025097659321e-01
4.846358089702391264e-02,4.848593594861955736e-01
5.919524737777280554e-02,4.339677048772483392e-01
6.378271204408433870e-02,5.852630068263888763e-01
5.763351684211100168e-02,5.799211578161799219e-01
3.078853833051843278e-02,5.548529918350901813e-01
4.280753875216646714e-02,5.818371384945186797e-01
4.584468616856078593e-02,3.593486412123328977e-01
4.934669103558500525e-02,5.594092522594398265e-01
1.524045014807249854e-01,5.786375199119219159e-01
5.346002493248201703e-02,5.836679979653780492e-01
3.997321652174966322e-02,4.816961198336586203e-01
7.324226240901011986e-02,4.245450491030264284e-01
6.367190718746414124e-02,6.492878991241561870e-01
3.825954535682318108e-02,4.437798997992071781e-01
2.196861268659053290e-02,6.758362008504479324e-01
5.369471252111267939e-02,5.965153705870066547e-01
3.120560215228945430e-02,3.892749632438254337e-01
4.933385092997528976e-02,2.503569540608547306e-01
4.697651288097307032e-02,6.518608567021912936e-01
